method,task,metric,test_pairs,initial,final,independent_reference,BWT_raw,BWTR,RMA,BWTR_status,RMA_status
mer,oasis,Dice,200,0.6793772411346436,0.6507365679740906,,-0.028640673160552965,-0.04215724552785949,,computed,not_applicable_first_task
mer,ctct,Dice,30,0.35218207240104676,0.30568106373151144,,-0.046501008669535326,-0.132036842058736,,computed,pending_independent_reference
mer,nlst,TRE_mm,42,4.94169959567842,5.296667871021089,,0.35496827534266906,-0.06701728029517517,,computed,pending_independent_reference
mer,mrct,Dice,8,0.52290078997612,0.52290078997612,,0.0,,,not_applicable_last_task,pending_independent_reference
samcl,oasis,Dice,200,0.7288183450698853,0.6923040473461151,,-0.03651429772377024,-0.05010068417016722,,computed,not_applicable_first_task
samcl,ctct,Dice,30,0.38958659370740256,0.3515334725379944,,-0.03805312116940818,-0.09767564332048817,,computed,pending_independent_reference
samcl,nlst,TRE_mm,42,4.9809249469212125,5.468568779173351,,0.4876438322521386,-0.08917211284043736,,computed,pending_independent_reference
samcl,mrct,Dice,8,0.5426075458526611,0.5426075458526611,,0.0,,,not_applicable_last_task,pending_independent_reference
