method,task,parameter_count,parameter_bytes,replay_capacity,replay_occupied,replay_tensor_bytes,train_step_median_s,train_peak_allocated_mib,inference_pair_median_ms,MPE
plain_update,oasis,8187014,32748056,0,0,0,0.9488731260062195,14488.99853515625,29.56013154471293,0.0
plain_update,ctct,8187014,32748056,0,0,0,0.6238234104821458,10449.30322265625,29.775154020171613,0.0
plain_update,nlst,8187014,32748056,0,0,0,0.9877386910375208,7829.765625,33.332144434098154,0.0
plain_update,mrct,8187014,32748056,0,0,0,0.7000585024943575,8793.17822265625,30.750047997571528,0.0
mer,oasis,8187014,32748056,200,0,0,1.7885092509677634,14521.080078125,56.68396403780207,0.0
mer,ctct,8187014,32748056,200,200,5780280000,2.880111353471875,13401.18701171875,55.95408903900534,0.0
mer,nlst,8187014,32748056,200,200,5780280000,3.104800218483433,13400.98193359375,56.106195552274585,0.0
mer,mrct,8187014,32748056,200,200,5783781408,2.9216843149624765,13402.603515625,57.241949485614896,0.0
samcl,oasis,8187014,32748056,200,0,0,2.637391099531669,14692.4619140625,56.134955026209354,0.0
samcl,ctct,8187014,32748056,200,200,5780280000,4.881598466949072,14692.3525390625,55.89526402764022,0.0
samcl,nlst,8187014,32748056,200,200,5780280000,4.967338516027667,14665.23046875,56.71551753766835,0.0
samcl,mrct,8187014,32748056,200,200,5783571576,5.097040052525699,14691.6015625,55.86722498992458,0.0
