method,Dice_RMA,TRE_RMA,Dice_BWTR,TRE_BWTR,MPE,DRR,active_hours
sequential,1.1139772934479186,0.9854906007221644,-0.4184446694625928,-0.5594670768224822,0,0.0,10.148347201502506
ewc,0.9985137667956832,0.8046970980180334,-0.08065424764155726,-0.0011676773242869087,0,0.0,12.278594867864157
si,1.057761127048262,0.9871193534010506,-0.41168149276214344,-0.5427375071224858,0,0.0,11.033421173024431
gpm,1.0698033480928504,1.0275656466100658,-0.26762927436500034,-0.4606114752477273,0,0.49873015873015875,17.40752228756998
